account,stage,amount,creationDate,closeDate,practice,offer,sector,segment,director,manager,source,competitiveness,code
account755,1,81735,10/3/18,9/6/18,practice3,offer37,sector2,segment25,director92,manager148,NA,NA,UOW
account253,1,99133.64,4/8/16,19/8/16,practice4,offer44,sector4,segment19,director131,manager17,source2,NA,DHV
account541,1,0,13/3/18,17/7/18,practice4,offer44,NA,segment27,director124,manager245,NA,NA,NUK
account743,1,220000,9/3/18,12/4/18,practice1,offer54,NA,segment25,director143,manager313,source5,NA,UNS
account743,0,150000,9/3/18,2/10/18,practice1,offer54,NA,segment25,director143,manager217,source5,NA,UNS
account434,0,125000,9/3/18,1/5/18,practice1,offer54,NA,segment25,director169,manager209,NA,NA,LTU
account291,0,300000,22/2/18,30/4/18,practice3,offer38,sector1,segment14,director112,manager156,NA,NA,DTF
account97,1,30000,22/2/18,7/3/18,practice1,offer55,sector5,NA,director169,manager195,NA,NA,AVI
account241,1,12750,23/8/17,23/8/17,practice1,offer56,NA,segment20,director158,manager282,source2,NA,DED
account380,1,12750,23/8/17,23/8/17,practice1,offer56,NA,segment19,director158,manager282,source2,NA,HPV
account254,0,33000,23/8/17,25/9/17,practice4,offer43,sector5,segment19,director141,manager17,source2,NA,DHS
account254,1,68300,23/8/17,7/9/17,practice4,offer43,sector5,segment19,director141,manager139,NA,NA,DHS
account234,0,50000,23/8/17,23/8/17,practice3,offer41,NA,segment20,director40,manager51,NA,NA,NDE
account277,1,44350,5/8/16,22/8/16,practice4,offer45,NA,segment2,director160,manager220,source2,NA,DRD
account314,1,31000,23/8/17,26/10/17,practice3,offer56,NA,NA,director111,manager180,NA,NA,ECQ
account419,1,4000,5/8/16,8/8/16,practice1,offer8,sector5,segment16,director117,manager154,source2,NA,JAL
account691,0,60000,5/8/16,17/10/16,practice1,offer10,sector2,segment25,director33,manager19,source2,NA,SWU
account604,1,32300,23/5/17,24/5/17,practice3,offer34,NA,segment40,director111,manager255,source2,NA,QSU
account784,1,5500,23/5/17,23/5/17,practice1,offer10,sector5,segment13,director169,manager237,source2,NA,VSA
account45,1,150000,23/5/17,10/8/17,practice1,offer10,NA,NA,director91,manager283,source2,NA,AUS
account705,1,22500,23/5/17,10/6/17,practice3,offer34,sector3,segment44,director111,manager314,source2,NA,TPT
account537,0,200000,23/5/17,29/6/17,practice1,offer8,sector4,NA,director117,manager68,source2,NA,NQP
account601,1,1290,15/9/16,1/1/17,practice2,offer20,sector3,segment44,director71,manager150,source2,NA,QIC
account548,0,140000,15/9/16,28/9/16,practice3,offer34,sector4,segment19,director51,manager303,source2,NA,DOH
